pi_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,l1_ko_highs
-0.5,b2040,,1,238,0.5183329169391334,0.5183329169391601,-2.6645352591003763e-14,0,2559.6264721685657,
-0.5,b2041,,1,238,0.5183329169391334,0.5183329169391601,-2.6645352591003763e-14,0,2559.6264721685657,
-0.5,b3788,,1,238,0.5183329169391334,0.5183329169391601,-2.6645352591003763e-14,0,2559.6264721685657,
-0.5,b0915,,1,468,0.5183329169391334,1.0568944097420447e-15,0.5183329169391323,1,5824.736311276602,
-0.5,b2095,,1,234,0.5183329169391334,0.5183329169391814,-4.796163466380676e-14,0,2559.665200765736,
-0.5,b3137,,1,234,0.5183329169391334,0.5183329169387355,3.979039320256561e-13,0,2559.665200767714,
-0.5,b2096,,1,234,0.5183329169391334,0.5183329169387355,3.979039320256561e-13,0,2559.665200767714,
-0.5,b3132,,1,234,0.5183329169391334,0.5183329169387355,3.979039320256561e-13,0,2559.665200767714,
-0.5,b0166,,1,517,0.5183329169391334,0.0,0.5183329169391334,1,4223.691265800787,
-0.5,b2480,,1,234,0.5183329169391334,0.5183329169391491,-1.5654144647214707e-14,0,2559.737751564944,
-0.5,b0066,,1,234,0.5183329169391334,0.5183329169389158,2.176037128265307e-13,0,2559.73775156599,
-0.5,b0067,,1,234,0.5183329169391334,0.5183329169389158,2.176037128265307e-13,0,2559.73775156599,
-0.5,b0068,,1,234,0.5183329169391334,0.5183329169389158,2.176037128265307e-13,0,2559.73775156599,
-0.5,b3616,,1,234,0.5183329169391334,0.5183329169389158,2.176037128265307e-13,0,2559.73775156599,
-0.5,b3772,,1,494,0.5183329169391334,-1.2496909408364978e-16,0.5183329169391335,1,5180.743942012309,
-0.5,b3117,,1,494,0.5183329169391334,0.0,0.5183329169391334,1,5180.743942013824,
-0.5,b1719,,1,234,0.5183329169391334,0.5183329169392051,-7.172040739078511e-14,0,2559.737751564702,
-0.5,b3823,,1,234,0.5183329169391334,0.5183329169393994,-2.660094367001875e-13,0,2559.737751563838,
-0.5,b3992,,1,488,0.5183329169391334,8.475767291198889e-16,0.5183329169391325,1,4548.842203845415,
-0.5,b3990,,1,488,0.5183329169391334,0.0,0.5183329169391334,1,4548.842203845134,
-0.5,b0423,,1,488,0.5183329169391334,0.0,0.5183329169391334,1,4548.842203845134,
-0.5,b4407,,1,488,0.5183329169391334,0.0,0.5183329169391334,1,4548.842203845134,
-0.5,b2935,,2,479,0.5183329169391334,0.0,0.5183329169391334,1,3125.9601046879543,
-0.5,b2465,,2,479,0.5183329169391334,2.6301051455506314e-16,0.5183329169391332,1,3125.9601046879425,
-0.5,b0997,,2,267,0.5183329169391334,0.518332916939248,-1.1457501614131618e-13,0,2387.0369202091533,
-0.5,b0996,,2,267,0.5183329169391334,0.5183329169391977,-6.428191312579656e-14,0,2387.036920209044,
-0.5,b2827,,1,527,0.5183329169391334,0.0,0.5183329169391334,1,4499.439155941683,
-0.5,b1106,,1,267,0.5183329169391334,0.5183329169392581,-1.2467804566540508e-13,0,2387.0369202091715,
-0.5,b0417,,1,500,0.5183329169391334,0.0,0.5183329169391334,1,3361.79105846354,
-0.5,b3993,,1,500,0.5183329169391334,0.0,0.5183329169391334,1,3361.7910584640167,
-0.5,b3919,,1,229,0.5183329169391334,0.5183329169391306,2.775557561562892e-15,0,2538.9256010216955,
-0.5,b0613,,1,229,0.5183329169391334,0.5183329169392548,-1.213473765915296e-13,0,2538.925601021477,
-0.5,b0888,,1,229,0.5183329169391334,0.5183329169392548,-1.213473765915296e-13,0,2538.925601021477,
-0.5,b4239,,1,229,0.5183329169391334,0.5183329169392548,-1.213473765915296e-13,0,2538.925601021477,
-0.5,b1897,,1,229,0.5183329169391334,0.5183329169392548,-1.213473765915296e-13,0,2538.925601021477,
-0.5,b1896,,1,229,0.5183329169391334,0.5183329169392548,-1.213473765915296e-13,0,2538.925601021477,
