gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,solve_src
b0110,4,8,0.3983895354016876,0.3983895354016847,2.886579864025407e-15,0,0.8071037935321386,pfba
b1463,1,8,0.3983895354016876,0.39838953540168487,2.7200464103316335e-15,0,0.8071037935323206,pfba
b4219,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b1832,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b1778,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b2871,1,0,0.3983895354016876,0.3983895354016818,5.773159728050814e-15,0,0.0,pfba
b0932,2,0,0.3983895354016876,0.3983895354016834,4.163336342344337e-15,0,0.0,pfba
b4260,2,0,0.3983895354016876,0.3983895354016834,4.163336342344337e-15,0,0.0,pfba
b2523,2,0,0.3983895354016876,0.3983895354016834,4.163336342344337e-15,0,0.0,pfba
b0237,3,10,0.3983895354016876,0.3983895354016643,2.3314683517128287e-14,0,0.7754953659315487,pfba
b2132,1,0,0.3983895354016876,0.39838953540167793,9.658940314238862e-15,0,0.0,pfba
b2239,5,0,0.3983895354016876,0.39838953540168465,2.942091015256665e-15,0,0.0,pfba
b2435,2,0,0.3983895354016876,0.39838953540167515,1.2434497875801753e-14,0,0.0,pfba
b0867,2,0,0.3983895354016876,0.39838953540167515,1.2434497875801753e-14,0,0.0,pfba
b2817,2,0,0.3983895354016876,0.39838953540167515,1.2434497875801753e-14,0,0.0,pfba
b4169,2,0,0.3983895354016876,0.39838953540167515,1.2434497875801753e-14,0,0.0,pfba
b3610,6,0,0.3983895354016876,0.39838953540168304,4.551914400963142e-15,0,0.0,pfba
b2676,4,6,0.3983895354016876,0.3983895354016865,1.1102230246251565e-15,0,0.031198853935646337,pfba
b1064,7,8,0.3983895354016876,0.3983895354016855,2.1094237467877974e-15,0,0.025837322671318174,pfba
b2675,4,6,0.3983895354016876,0.3983895354016865,1.1102230246251565e-15,0,0.031198853935646337,pfba
b0849,6,0,0.3983895354016876,0.39838953540168304,4.551914400963142e-15,0,0.0,pfba
b1654,6,0,0.3983895354016876,0.39838953540168304,4.551914400963142e-15,0,0.0,pfba
b3336,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b0123,2,0,0.3983895354016876,0.3983895354016821,5.495603971894525e-15,0,0.0,pfba
b1192,4,8,0.3983895354016876,0.398389535401678,9.603429163007604e-15,0,0.8071037935328094,pfba
b1270,2,0,0.3983895354016876,0.3983895354016865,1.1102230246251565e-15,0,0.0,pfba
b1246,2,6,0.3983895354016876,0.3983895354016835,4.107825191113079e-15,0,0.0006519912522552214,pfba
b1247,2,6,0.3983895354016876,0.3983895354016835,4.107825191113079e-15,0,0.0006519912522552214,pfba
b1244,2,6,0.3983895354016876,0.3983895354016835,4.107825191113079e-15,0,0.0006519912522552214,pfba
b1245,2,6,0.3983895354016876,0.3983895354016835,4.107825191113079e-15,0,0.0006519912522552214,pfba
b1243,2,6,0.3983895354016876,0.3983895354016835,4.107825191113079e-15,0,0.0006519912522552214,pfba
b2180,2,6,0.3983895354016876,0.3983895354016835,4.107825191113079e-15,0,0.0006519912522552214,pfba
b2179,2,6,0.3983895354016876,0.3983895354016835,4.107825191113079e-15,0,0.0006519912522552214,pfba
b1329,1,6,0.3983895354016876,0.3983895354016835,4.107825191113079e-15,0,0.0006519912522552214,pfba
b2177,2,6,0.3983895354016876,0.3983895354016835,4.107825191113079e-15,0,0.0006519912522552214,pfba
b2178,2,6,0.3983895354016876,0.3983895354016835,4.107825191113079e-15,0,0.0006519912522552214,pfba
b0433,3,6,0.3983895354016876,0.398389535401685,2.609024107869118e-15,0,0.03119885393597134,pfba
b4367,3,0,0.3983895354016876,0.39838953540169053,-2.942091015256665e-15,0,0.0,pfba
b0573,2,6,0.3983895354016876,0.3983895354016879,-3.3306690738754696e-16,0,0.0006519912522263647,pfba
b0572,2,6,0.3983895354016876,0.3983895354016879,-3.3306690738754696e-16,0,0.0006519912522263647,pfba
b0575,2,6,0.3983895354016876,0.3983895354016879,-3.3306690738754696e-16,0,0.0006519912522263647,pfba
b0574,2,6,0.3983895354016876,0.3983895354016879,-3.3306690738754696e-16,0,0.0006519912522263647,pfba
b3915,7,6,0.3983895354016876,0.39838953540170496,-1.73749903353837e-14,0,0.0006519912522631121,pfba
b0752,5,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b1859,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b1858,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b1857,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b1981,1,6,0.3983895354016876,0.398389535401702,-1.4432899320127035e-14,0,0.031198853936073852,pfba
b2392,2,0,0.3983895354016876,0.3983895354016793,8.271161533457416e-15,0,0.0,pfba
b0452,10,440,0.3983895354016876,0.3915030231418189,0.006886512259868693,0,7.618602859669382,pfba
b1927,1,0,0.3983895354016876,0.39838953540170646,-1.887379141862766e-14,0,0.0,pfba
b3571,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b3650,3,0,0.3983895354016876,0.39838953540168887,-1.27675647831893e-15,0,0.0,pfba
b2344,7,8,0.3983895354016876,0.3983895354016757,1.1879386363489175e-14,0,0.8071037935318317,pfba
b4213,8,0,0.3983895354016876,0.3983895354016818,5.773159728050814e-15,0,0.0,pfba
b1059,2,0,0.3983895354016876,0.3983895354016883,-7.216449660063518e-16,0,0.0,pfba
b1727,4,6,0.3983895354016876,0.3983895354016868,7.771561172376096e-16,0,0.0006519912522712406,pfba
b3580,2,8,0.3983895354016876,0.39838953540170113,-1.354472090042691e-14,0,0.807103793532305,pfba
b2051,1,6,0.3983895354016876,0.39838953540169275,-5.162537064506978e-15,0,0.0006519912522424124,pfba
b4265,3,8,0.3983895354016876,0.3983895354017104,-2.2815083156046967e-14,0,0.5687474350460903,pfba
b3266,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b3265,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b3907,2,0,0.3983895354016876,0.39838953540167604,1.1546319456101628e-14,0,0.0,pfba
b3477,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b3476,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b3480,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b3478,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b3479,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b4242,2,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b4094,1,0,0.3983895354016876,0.39838953540172606,-3.8469227803261674e-14,0,0.0,pfba
b0698,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b0696,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b0697,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b4513,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b3458,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b2975,3,8,0.3983895354016876,0.39838953540168887,-1.27675647831893e-15,0,0.02583732267112531,pfba
b3603,3,8,0.3983895354016876,0.39838953540168887,-1.27675647831893e-15,0,0.02583732267112531,pfba
b4034,6,0,0.3983895354016876,0.3983895354016897,-2.1094237467877974e-15,0,0.0,pfba
b4035,6,0,0.3983895354016876,0.3983895354016897,-2.1094237467877974e-15,0,0.0,pfba
b4032,6,0,0.3983895354016876,0.3983895354016897,-2.1094237467877974e-15,0,0.0,pfba
b4033,6,0,0.3983895354016876,0.3983895354016897,-2.1094237467877974e-15,0,0.0,pfba
b3666,4,0,0.3983895354016876,0.39838953540168415,3.4416913763379853e-15,0,0.0,pfba
b0731,1,0,0.3983895354016876,0.3983895354016763,1.1268763699945339e-14,0,0.0,pfba
b4120,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b0343,2,6,0.3983895354016876,0.3983895354016814,6.161737786669619e-15,0,0.031198853935982943,pfba
b0197,2,0,0.3983895354016876,0.39838953540168087,6.716849298982197e-15,0,0.0,pfba
b0199,2,0,0.3983895354016876,0.39838953540168087,6.716849298982197e-15,0,0.0,pfba
b0198,2,0,0.3983895354016876,0.39838953540168087,6.716849298982197e-15,0,0.0,pfba
b1297,1,6,0.3983895354016876,0.3983895354016848,2.7755575615628914e-15,0,0.0006519912522444913,pfba
b2933,1,8,0.3983895354016876,0.39838953540168104,6.5503158452884236e-15,0,0.025837322671227448,pfba
b2934,1,8,0.3983895354016876,0.39838953540168104,6.5503158452884236e-15,0,0.025837322671227448,pfba
b3599,1,8,0.3983895354016876,0.39838953540168104,6.5503158452884236e-15,0,0.025837322671227448,pfba
b1186,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b0019,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b0451,1,414,0.3983895354016876,0.0,0.3983895354016876,1,3824.479024407111,pfba
b0751,1,10,0.3983895354016876,0.39838953540167316,1.4432899320127035e-14,0,0.7754953659309607,pfba
b1223,2,8,0.3983895354016876,0.39838953540169225,-4.6629367034256575e-15,0,0.8071037935318803,pfba
b3367,1,6,0.3983895354016876,0.39838953540168764,-5.551115123125783e-17,0,0.0006519912522104674,pfba
b1469,1,6,0.3983895354016876,0.39838953540167554,1.2045919817182948e-14,0,0.03119885393599907,pfba
b3728,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b3727,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b3726,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b3725,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b3258,1,6,0.3983895354016876,0.39838953540169747,-9.880984919163893e-15,0,0.5943423401302685,pfba
b3371,1,0,0.3983895354016876,0.39838953540168176,5.828670879282072e-15,0,0.0,pfba
b2677,5,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b2678,5,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b2679,5,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b0402,1,4,0.3983895354016876,0.3983895354016868,7.771561172376096e-16,0,1.7199558672185654e-05,pfba
b1015,2,10,0.3983895354016876,0.39838953540169003,-2.4424906541753444e-15,0,0.5943595396893264,pfba
b0854,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b0855,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b0856,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b0857,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b1440,2,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b1441,2,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b1442,2,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b1443,2,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b1126,2,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b1125,2,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b1124,2,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b1123,2,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b2957,2,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b0150,3,8,0.3983895354016876,0.39838953540168415,3.4416913763379853e-15,0,0.025837322671458433,pfba
b1865,2,414,0.3983895354016876,0.0,0.3983895354016876,1,3824.479024407118,pfba
b2954,3,10,0.3983895354016876,0.3983895354016771,1.049160758270773e-14,0,0.7754953659335622,pfba
b1002,2,0,0.3983895354016876,0.39838953540167216,1.5432100042289676e-14,0,0.0,pfba
b2938,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b4090,2,414,0.3983895354016876,0.22429890874668396,0.17409062665500363,0,898.4601689312243,pfba
b4084,1,6,0.3983895354016876,0.39838953540168226,5.329070518200751e-15,0,0.0006519912522205101,pfba
b4085,1,0,0.3983895354016876,0.39838953540168626,1.3322676295501878e-15,0,0.0,pfba
