o2_bound,gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
0.0,b1097,4,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b2813,4,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b2701,4,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b0211,4,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b4392,4,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b2558,4,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b1193,4,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b2963,4,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b3546,2,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b2328,6,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b2134,4,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b1655,4,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b1856,4,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b3860,2,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b1185,2,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b4136,3,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b0605,1,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b0606,1,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b0221,8,431,0.13410915918519603,0.1303941486108788,0.0037150105743172235,0,1129.8072683109172
0.0,b2283,3,64,0.13410915918519603,0.1341091591851997,-3.6637359812630166e-15,0,1115.9477020871664
0.0,b2282,3,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b2281,3,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b2288,3,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b2276,3,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b2277,3,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b2285,3,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b2284,3,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b2278,3,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b2279,3,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b2280,3,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b2287,3,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b2286,3,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b1801,3,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b4208,5,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b0007,2,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b2923,2,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b0874,1,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b0037,3,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b1734,2,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b2467,1,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b0404,7,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b0314,1,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b4474,1,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b3370,2,64,0.13410915918519603,0.13410915918520497,-8.93729534823251e-15,0,1115.9477020873483
0.0,b3040,6,412,0.13410915918519603,0.0,0.13410915918519603,1,3683.746533118683
0.0,b3816,3,412,0.13410915918519603,0.0,0.13410915918519603,1,3683.746533117823
0.0,b2373,1,64,0.13410915918519603,0.1341091591851982,-2.1649348980190553e-15,0,1115.94770208714
0.0,b4233,2,64,0.13410915918519603,0.13410915918517813,1.790234627208065e-14,0,1115.9477020867066
0.0,b3196,1,412,0.13410915918519603,1.5096506187941721e-15,0.13410915918519453,1,3683.746533117201
0.0,b3691,1,64,0.13410915918519603,0.13410915918519425,1.7763568394002505e-15,0,1115.947702087064
