fe_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,engine
-0.01,b3012,,2,163,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,3968.62271057694,
-0.01,b3945,,4,163,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,3968.62271057694,
-0.01,b3091,,1,163,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,3968.62271057694,
-0.01,b3416,,4,163,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,3968.62271057694,
-0.01,b3223,,1,163,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,3968.62271057694,
-0.01,b3222,,1,163,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,3968.62271057694,
-0.01,b0774,,1,461,0.6226262374694641,-9.992304127032485e-17,0.6226262374694642,1,6607.669918430921,
-0.01,b3833,,2,167,0.6226262374694641,0.6226262374696468,-1.8274270985330082e-13,0,4173.547415345889,
-0.01,b3994,,1,461,0.6226262374694641,-9.992304127032485e-17,0.6226262374694642,1,6607.669918430986,
-0.01,b1982,,1,165,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,4274.993140234411,
-0.01,b0932,,2,165,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4274.993140234409,
-0.01,b0237,,3,165,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4274.993140234409,
-0.01,b4260,,2,165,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4274.993140234409,
-0.01,b2523,,2,165,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4274.993140234409,
-0.01,b1640,,1,165,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4274.993140234409,
-0.01,b1263,,2,461,0.6226262374694641,9.992304127032485e-17,0.622626237469464,1,6607.669918430918,
-0.01,b1264,,1,461,0.6226262374694641,0.0,0.6226262374694641,1,6607.669918430875,
-0.01,b0776,,1,461,0.6226262374694641,0.0,0.6226262374694641,1,6607.669918430875,
-0.01,b0049,,3,196,0.6226262374694641,0.6226262374696461,-1.819655537360632e-13,0,4177.883686574027,
-0.01,b4129,,2,196,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4177.883686573998,
-0.01,b0121,,2,196,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4177.883686573998,
-0.01,b3059,,7,196,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4177.883686573998,
-0.01,b0968,,7,196,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4177.883686573998,
-0.01,b0414,,2,471,0.6226262374694641,-7.614135744798755e-14,0.6226262374695403,1,6089.296672608719,
-0.01,b0062,,1,145,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4294.692370115475,
-0.01,b0153,,5,145,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4294.692370115469,
-0.01,b0151,,5,145,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4294.692370115469,
-0.01,b0152,,5,145,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4294.692370115469,
-0.01,b2715,,1,145,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4294.692370115469,
-0.01,b3722,,1,145,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4294.692370115469,
-0.01,b1900,,1,145,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4294.692370115469,
-0.01,b4460,,1,145,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4294.692370115469,
-0.01,b1901,,1,145,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4294.692370115469,
-0.01,b2841,,1,145,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4294.692370115469,
-0.01,b1528,,3,145,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4294.692370115469,
-0.01,b4115,,1,145,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4294.692370115469,
-0.01,b4117,,1,145,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4294.692370115469,
-0.01,b2938,,1,145,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4294.692370115469,
-0.01,b1605,,1,145,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4294.692370115469,
-0.01,b3960,,1,471,0.6226262374694641,-9.992304127032485e-17,0.6226262374694642,1,6089.296672608249,
-0.01,b3172,,1,471,0.6226262374694641,0.0,0.6226262374694641,1,6089.296672608317,
-0.01,b1876,,1,145,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4294.692370115475,
-0.01,b2310,,3,145,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4294.692370115469,
-0.01,b0863,,1,145,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4294.692370115469,
