o2_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
0.0,b2663,,1,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b2222,,3,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b2221,,3,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b2224,,1,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b2342,,8,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b3845,,8,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b2223,,3,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b1241,,2,123,-9.449629182554199e-32,1.1426676246371767e-14,-1.1426676246371767e-14,0,1117.5420046885258
0.0,b0351,,1,123,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,1117.542004687556
0.0,s0001,,39,61,-9.449629182554199e-32,5.75045087550685e-16,-5.750450875506851e-16,0,81.67320000000184
0.0,b1463,,1,61,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,81.67319999999842
0.0,b1993,,2,61,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,81.67319999999916
0.0,b2316,,1,61,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,81.67319999999916
0.0,b3255,,1,61,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,81.67319999999916
0.0,b0185,,1,61,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,81.67319999999916
0.0,b3256,,1,61,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,81.67319999999916
0.0,b4069,,2,61,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,81.67319999999916
0.0,b1119,,1,61,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,81.67319999999916
0.0,b3784,,1,61,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,81.67319999999916
0.0,b2415,,18,64,-9.449629182554199e-32,4.6891634754334413e-32,-1.413879265798764e-31,0,190.11510000000607
0.0,b0679,,1,64,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,190.11509999999774
0.0,b1101,,2,64,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,190.11509999999774
0.0,b2417,,6,64,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,190.11509999999774
0.0,b2416,,19,64,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,190.11509999999774
