gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,solve_src
b0237,,3,0,0.0992479883158715,0.0992479883158545,1.7014167852380524e-14,0,0.0,
b4260,,2,4,0.0992479883158715,0.0992479883158513,2.016442568475441e-14,0,1.9593550552123622e-09,
b2523,,2,4,0.0992479883158715,0.0992479883158513,2.016442568475441e-14,0,1.9593550552123622e-09,
b1640,,1,4,0.0992479883158715,0.0992479883157804,9.109379917049411e-14,0,1.9593549659975376e-09,
b1263,,2,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848908,
b1264,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388491,
b0776,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848942,
b0049,,3,4,0.0992479883158715,0.0992479883158673,4.2327252813834085e-15,0,1.959355061638997e-09,
b4129,,2,0,0.0992479883158715,0.0992479883158548,1.6667223157185163e-14,0,0.0,
b0121,,2,0,0.0992479883158715,0.0992479883158498,2.167710455580618e-14,0,0.0,
b3059,,7,0,0.0992479883158715,0.0992479883158536,1.7860712908657206e-14,0,0.0,
b0968,,7,4,0.0992479883158715,0.099247988315852,1.9456658506555868e-14,0,1.959355062871729e-09,
b0414,,2,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848563,
b0062,,1,4,0.0992479883158715,0.0992479883158623,9.214851104388801e-15,0,1.95935506039487e-09,
b0153,,5,0,0.0992479883158715,0.0992479883158279,4.3562375928729586e-14,0,0.0,
b0151,,5,0,0.0992479883158715,0.0992479883158279,4.3562375928729586e-14,0,0.0,
b0152,,5,0,0.0992479883158715,0.0992479883158279,4.3562375928729586e-14,0,0.0,
b2715,,1,0,0.0992479883158715,0.0992479883158615,9.978129433818594e-15,0,0.0,
b3722,,1,0,0.0992479883158715,0.0992479883158615,9.978129433818594e-15,0,0.0,
b1900,,1,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b4460,,1,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b1901,,1,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b2841,,1,0,0.0992479883158715,0.0992479883158428,2.871314297436811e-14,0,0.0,
b1528,,3,0,0.0992479883158715,0.0992479883158327,3.880229471064922e-14,0,0.0,
b4115,,1,0,0.0992479883158715,0.0992479883158286,4.292399768957012e-14,0,0.0,
b4117,,1,0,0.0992479883158715,0.0992479883158411,3.036459972349803e-14,0,0.0,
b2938,,1,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b1605,,1,0,0.0992479883158715,0.09924798831588,-8.520961713998076e-15,0,0.0,
b3960,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.321563884891,
b3172,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388488886,
b1876,,1,4,0.0992479883158715,0.0992479883158502,2.131628207280301e-14,0,1.959355030175448e-09,
b2310,,3,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b0863,,1,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b0860,,1,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b2307,,4,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b2308,,4,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b0862,,1,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b2306,,4,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b0864,,1,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b0861,,1,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b2923,,2,4,0.0992479883158715,0.0992479883157809,9.064970996064404e-14,0,1.959354948649326e-09,
b3433,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388489165,
b4192,,1,4,0.0992479883158715,0.0992479883158223,4.918287999089444e-14,0,1.9593550355464087e-09,
b4194,,1,0,0.0992479883158715,0.0992479883158071,6.439293542825908e-14,0,0.0,
b4193,,1,0,0.0992479883158715,0.0992479883158071,6.439293542825908e-14,0,0.0,
b4195,,1,0,0.0992479883158715,0.0992479883158071,6.439293542825908e-14,0,0.0,
b1767,,1,0,0.0992479883158715,0.0992479883158426,2.893518757929314e-14,0,0.0,
b0828,,1,0,0.0992479883158715,0.0992479883158426,2.893518757929314e-14,0,0.0,
b2957,,2,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b0674,,1,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b3744,,1,293,0.0992479883158715,0.0990111119156115,0.0002368764002599,0,0.0020605242978903,
b0930,,1,4,0.0992479883158715,0.0992479883158522,1.9290125052862092e-14,0,1.959355026897358e-09,
b1453,,1,0,0.0992479883158715,0.0992479883158462,2.5313084961453572e-14,0,0.0,
b3502,,1,4,0.0992479883158715,0.0992479883158518,1.96787031114809e-14,0,1.9593550561214403e-09,
b0131,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388490023,
b4245,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388491205,
b4244,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638849052,
b0002,,2,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388485885,
b4024,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388489244,
b3940,,2,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848737,
b2574,,4,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848821,
b4139,,1,0,0.0992479883158715,0.0992479883158624,9.131584377541913e-15,0,0.0,
b0928,,3,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848889,
b1866,,1,4,0.0992479883158715,0.0992479883158638,7.702172233337023e-15,0,1.959355065706049e-09,
b0654,,2,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b0655,,2,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b0652,,2,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b0653,,2,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b3528,,6,0,0.0992479883158715,0.0992479883158501,2.138567101184208e-14,0,0.0,
b4123,,9,0,0.0992479883158715,0.0992479883158561,1.5390466678866233e-14,0,0.0,
b4138,,7,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b4077,,2,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b3503,,1,4,0.0992479883158715,0.0992479883158326,3.892719480091955e-14,0,1.959355003617424e-09,
b1064,,7,0,0.0992479883158715,0.0992479883158711,4.0245584642661925e-16,0,0.0,
b1747,,1,0,0.0992479883158715,0.0992479883158499,2.1635471192382735e-14,0,0.0,
b1539,,4,0,0.0992479883158715,0.0992479883158409,3.0558888752807434e-14,0,0.0,
